,ServiceAreaId,IssuerId,TEHBCombInnOonFamilyPerGroupMOOP,EHBPercentTotalPremium,TEHBInnTier1IndividualMOOP,TEHBOutOfNetFamilyPerPersonMOOP,TEHBInnTier1FamilyPerGroupMOOP,TEHBOutOfNetFamilyPerGroupMOOP,SBCHavingaBabyCoinsurance,OutOfServiceAreaCoverageDescription,TEHBOutOfNetIndividualMOOP,SBCHavingaBabyCopayment,TEHBInnTier1FamilyPerPersonMOOP,TEHBCombInnOonFamilyPerPersonMOOP,TEHBCombInnOonIndividualMOOP,act_value,SBCHavingDiabetesCopayment,SBCHavingDiabetesCoinsurance,SBCHavingDiabetesDeductible,SBCHavingaBabyDeductible
3916,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0
3917,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
3918,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
3919,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0
3920,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0
3921,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
3922,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
3923,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0
3924,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0
3925,INS001,33380,0,1.0,6,0,12000,0,410,0,0,510,6000,0,0,80.0967574119568,520,220,750,750
3926,INS001,33380,0,1.0,6,0,12000,0,410,0,0,510,6000,0,0,80.0967574119568,520,220,750,750
3927,INS001,33380,0,1.0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3928,INS001,33380,0,1.0,6,0,12000,0,410,0,0,510,6000,0,0,80.0967574119568,520,220,750,750
3929,INS001,33380,0,1.0,4,0,9000,0,0,0,0,760,4500,0,0,68.4082090854645,180,190,3,3
3930,INS001,33380,0,1.0,4,0,9000,0,0,0,0,760,4500,0,0,68.4082090854645,180,190,3,3
3931,INS001,33380,0,1.0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3932,INS001,33380,0,1.0,4,0,9000,0,0,0,0,760,4500,0,0,68.4082090854645,180,190,3,3
3933,INS001,33380,0,1.0,3,0,7000,0,160,0,0,760,3500,0,0,73.7911522388458,260,260,2,2
3934,INS001,33380,0,1.0,1,0,2400,0,210,0,0,290,1200,0,0,87.9264891147614,310,190,700,700
3935,INS001,33380,0,1.0,500,0,1000,0,260,0,0,90,500,0,0,94.68784332275389,190,160,150,150
3936,INS001,33380,0,1.0,6,0,12700,0,90,0,0,760,6350,0,0,69.5235192775726,380,230,2,2
3937,INS001,33380,0,1.0,6,0,12700,0,90,0,0,760,6350,0,0,69.5235192775726,380,230,2,2
3938,INS001,33380,0,1.0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3939,INS001,33380,0,1.0,6,0,12700,0,90,0,0,760,6350,0,0,69.5235192775726,380,230,2,2
3940,INS001,33380,0,1.0,4,0,9000,0,60,0,0,760,4500,0,0,73.5545456409454,300,160,2,2
3941,INS001,33380,0,1.0,1,0,3000,0,200,0,0,550,1500,0,0,87.5867784023285,520,110,750,750
3942,INS001,33380,0,1.0,600,0,1200,0,260,0,0,140,600,0,0,94.0244376659393,320,80,200,200
3943,INS001,33380,0,1.0,5,0,11500,0,240,0,0,760,5750,0,0,71.9566822052002,410,280,2,2
3944,INS001,33380,0,1.0,5,0,11500,0,240,0,0,760,5750,0,0,71.9566822052002,410,280,2,2
3945,INS001,33380,0,1.0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3946,INS001,33380,0,1.0,5,0,11500,0,240,0,0,760,5750,0,0,71.9566822052002,410,280,2,2
3947,INS001,33380,0,1.0,4,0,8800,0,250,0,0,760,4400,0,0,73.96718859672549,410,280,1,1
3948,INS001,33380,0,1.0,1,0,3000,0,200,0,0,510,1500,0,0,87.7996683120728,420,110,750,750
3949,INS001,33380,0,1.0,500,0,1000,0,260,0,0,90,500,0,0,94.83346343040469,280,70,150,150
3950,INS001,33380,0,1.0,5,0,10000,0,50,0,0,880,5000,0,0,71.52498960495,380,220,2,2
3951,INS001,33380,0,1.0,5,0,10000,0,50,0,0,880,5000,0,0,71.52498960495,380,220,2,2
3952,INS001,33380,0,1.0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3953,INS001,33380,0,1.0,5,0,10000,0,50,0,0,880,5000,0,0,71.52498960495,380,220,2,2
3954,INS001,33380,0,1.0,4,0,8800,0,120,0,0,1,4400,0,0,73.8203644752502,450,270,1,1
3955,INS001,33380,0,1.0,1,0,2500,0,370,0,0,380,1250,0,0,87.8720879554749,580,170,500,500
3956,INS001,33380,0,1.0,500,0,1000,0,200,0,0,150,500,0,0,94.4558918476105,310,40,150,150
3957,INS001,33380,0,1.0,6,0,12400,0,0,0,0,770,6200,0,0,61.941993236541705,140,50,4,4
3958,INS001,33380,0,1.0,6,0,12400,0,0,0,0,770,6200,0,0,61.941993236541705,140,50,4,4
3959,INS001,33380,0,1.0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3960,INS001,33380,0,1.0,6,0,12400,0,0,0,0,770,6200,0,0,61.941993236541705,140,50,4,4
3961,INS001,33380,0,1.0,6,0,13700,0,0,0,0,850,6850,0,0,61.9259476661682,0,0,5,6
3962,INS001,33380,0,1.0,6,0,13700,0,0,0,0,850,6850,0,0,61.9259476661682,0,0,5,6
3963,INS001,33380,0,1.0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3964,INS001,33380,0,1.0,6,0,13700,0,0,0,0,850,6850,0,0,61.9259476661682,0,0,5,6
3965,INS001,33380,0,1.0,6,0,13000,0,0,0,0,0,6500,0,0,60.0919127464294,0,0,5,6
3966,INS001,33380,0,1.0,6,0,13000,0,0,0,0,0,6500,0,0,60.0919127464294,0,0,5,6
3967,INS001,33380,0,1.0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3968,INS001,33380,0,1.0,6,0,13000,0,0,0,0,0,6500,0,0,60.0919127464294,0,0,5,6
