,Column_Name,Categories,Missing_Values,Unique_Values
452,OS_CoinsInnTier1A,0,49926,14
453,OS_CoinsInnTier2Complex,0,0,1
454,OS_CoinsInnTier2,0,0,2
455,OS_CoinsInnTier2A,0,69686,10
456,OS_CopayOutofNetComplex,0,0,1
457,OS_CopayOutofNet,0,0,6
458,OS_CopayOutofNetA,0,68560,9
459,OS_CoinsOutofNetComplex,0,0,1
460,OS_CoinsOutofNet,0,0,5
461,OS_CoinsOutofNetA,0,5812,18
462,PD_LIMITED,0,0,2
463,PD_CopayInn_TIERS,0,0,2
464,PD_CopayInnTier1Complex,0,0,1
465,PD_CopayInnTier1,0,0,6
466,PD_CopayInnTier1A,0,17420,42
467,PD_CopayInnTier2Complex,0,0,1
468,PD_CopayInnTier2,0,0,5
469,PD_CopayInnTier2A,0,67117,22
470,PD_CoinsInn_TIERS,0,0,2
471,PD_CoinsInnTier1Complex,0,0,1
472,PD_CoinsInnTier1,0,0,4
473,PD_CoinsInnTier1A,0,57674,14
474,PD_CoinsInnTier2Complex,0,0,1
475,PD_CoinsInnTier2,0,0,3
476,PD_CoinsInnTier2A,0,69980,10
477,PD_CopayOutofNetComplex,0,0,1
478,PD_CopayOutofNet,0,0,5
479,PD_CopayOutofNetA,0,61391,20
480,PD_CoinsOutofNetComplex,0,0,1
481,PD_CoinsOutofNet,0,0,4
482,PD_CoinsOutofNetA,0,13609,15
483,PN_LIMITED,0,0,2
484,PN_CopayInn_TIERS,0,0,2
485,PN_CopayInnTier1Complex,0,0,2
486,PN_CopayInnTier1,0,0,6
487,PN_CopayInnTier1A,0,25395,28
488,PN_CopayInnTier2Complex,0,0,2
489,PN_CopayInnTier2,0,0,5
490,PN_CopayInnTier2A,0,68913,12
491,PN_CoinsInn_TIERS,0,0,2
492,PN_CoinsInnTier1Complex,0,0,2
493,PN_CoinsInnTier1,0,0,4
494,PN_CoinsInnTier1A,0,49155,14
495,PN_CoinsInnTier2Complex,0,0,1
496,PN_CoinsInnTier2,0,0,3
497,PN_CoinsInnTier2A,0,70248,9
498,PN_CopayOutofNetComplex,0,0,1
499,PN_CopayOutofNet,0,0,6
500,PN_CopayOutofNetA,0,68379,6
501,PN_CoinsOutofNetComplex,0,0,1
502,PN_CoinsOutofNet,0,0,5
503,PN_CoinsOutofNetA,0,6044,17
504,PV_LIMITED,0,0,2
505,PV_CopayInn_TIERS,0,0,2
506,PV_CopayInnTier1Complex,0,0,1
507,PV_CopayInnTier1,0,0,5
508,PV_CopayInnTier1A,0,3875,2
509,PV_CopayInnTier2Complex,0,0,1
510,PV_CopayInnTier2,0,0,2
511,PV_CopayInnTier2A,0,68753,1
512,PV_CoinsInn_TIERS,0,0,2
513,PV_CoinsInnTier1Complex,0,0,1
514,PV_CoinsInnTier1,0,0,3
515,PV_CoinsInnTier1A,0,70549,1
516,PV_CoinsInnTier2Complex,0,0,1
517,PV_CoinsInnTier2,0,0,1
518,PV_CoinsInnTier2A,0,70557,0
519,PV_CopayOutofNetComplex,0,0,1
520,PV_CopayOutofNet,0,0,4
521,PV_CopayOutofNetA,0,68555,1
522,PV_CoinsOutofNetComplex,0,0,1
523,PV_CoinsOutofNet,0,0,5
524,PV_CoinsOutofNetA,0,5868,18
525,PC_LIMITED,0,0,2
526,PC_CopayInn_TIERS,0,0,2
527,PC_CopayInnTier1Complex,0,0,2
528,PC_CopayInnTier1,0,0,6
529,PC_CopayInnTier1A,0,12765,28
530,PC_CopayInnTier2Complex,0,0,2
531,PC_CopayInnTier2,0,0,5
532,PC_CopayInnTier2A,0,69071,20
533,PC_CoinsInn_TIERS,0,0,2
534,PC_CoinsInnTier1Complex,0,0,2
535,PC_CoinsInnTier1,0,0,4
536,PC_CoinsInnTier1A,0,61663,13
537,PC_CoinsInnTier2Complex,0,0,1
538,PC_CoinsInnTier2,0,0,3
539,PC_CoinsInnTier2A,0,70307,8
540,PC_CopayOutofNetComplex,0,0,1
541,PC_CopayOutofNet,0,0,6
542,PC_CopayOutofNetA,0,68576,9
543,PC_CoinsOutofNetComplex,0,0,1
544,PC_CoinsOutofNet,0,0,5
545,PC_CoinsOutofNetA,0,5796,17
546,RH_LIMITED,0,0,2
547,RH_CopayInn_TIERS,0,0,2
548,RH_CopayInnTier1Complex,0,0,2
549,RH_CopayInnTier1,0,0,6
550,RH_CopayInnTier1A,0,39728,32
551,RH_CopayInnTier2Complex,0,0,1
552,RH_CopayInnTier2,0,0,5
553,RH_CopayInnTier2A,0,69735,25
554,RH_CoinsInn_TIERS,0,0,2
555,RH_CoinsInnTier1Complex,0,0,2
556,RH_CoinsInnTier1,0,0,4
557,RH_CoinsInnTier1A,0,34751,18
558,RH_CoinsInnTier2Complex,0,0,1
559,RH_CoinsInnTier2,0,0,3
560,RH_CoinsInnTier2A,0,69330,11
561,RH_CopayOutofNetComplex,0,0,1
562,RH_CopayOutofNet,0,0,6
563,RH_CopayOutofNetA,0,68493,10
564,RH_CoinsOutofNetComplex,0,0,1
565,RH_CoinsOutofNet,0,0,5
566,RH_CoinsOutofNetA,0,5879,17
567,SN_LIMITED,0,0,2
568,SN_CopayInn_TIERS,0,0,2
569,SN_CopayInnTier1Complex,0,0,2
570,SN_CopayInnTier1,0,0,6
571,SN_CopayInnTier1A,0,45406,30
572,SN_CopayInnTier2Complex,0,0,1
573,SN_CopayInnTier2,0,0,5
574,SN_CopayInnTier2A,0,69917,12
575,SN_CoinsInn_TIERS,0,0,2
576,SN_CoinsInnTier1Complex,0,0,1
577,SN_CoinsInnTier1,0,0,4
578,SN_CoinsInnTier1A,0,29125,18
579,SN_CoinsInnTier2Complex,0,0,1
580,SN_CoinsInnTier2,0,0,3
581,SN_CoinsInnTier2A,0,69162,12
582,SN_CopayOutofNetComplex,0,0,1
583,SN_CopayOutofNet,0,0,5
584,SN_CopayOutofNetA,0,68148,8
585,SN_CoinsOutofNetComplex,0,0,1
586,SN_CoinsOutofNet,0,0,5
587,SN_CoinsOutofNetA,0,6276,18
588,SP_LIMITED,0,0,2
589,SP_CopayInn_TIERS,0,0,2
590,SP_CopayInnTier1Complex,0,0,2
591,SP_CopayInnTier1,0,0,6
592,SP_CopayInnTier1A,0,17395,30
593,SP_CopayInnTier2Complex,0,0,1
594,SP_CopayInnTier2,0,0,5
595,SP_CopayInnTier2A,0,68636,28
596,SP_CoinsInn_TIERS,0,0,2
597,SP_CoinsInnTier1Complex,0,0,2
598,SP_CoinsInnTier1,0,0,4
599,SP_CoinsInnTier1A,0,57084,15
600,SP_CoinsInnTier2Complex,0,0,1
601,SP_CoinsInnTier2,0,0,3
602,SP_CoinsInnTier2A,0,70258,9
603,SP_CopayOutofNetComplex,0,0,1
604,SP_CopayOutofNet,0,0,6
605,SP_CopayOutofNetA,0,68568,9
606,SP_CoinsOutofNetComplex,0,0,1
607,SP_CoinsOutofNet,0,0,5
608,SP_CoinsOutofNetA,0,5804,17
609,SD_LIMITED,0,0,2
610,SD_CopayInn_TIERS,0,0,2
611,SD_CopayInnTier1Complex,0,0,1
612,SD_CopayInnTier1,0,0,6
613,SD_CopayInnTier1A,0,39871,49
614,SD_CopayInnTier2Complex,0,0,1
615,SD_CopayInnTier2,0,0,6
616,SD_CopayInnTier2A,0,69623,28
617,SD_CoinsInn_TIERS,0,0,2
618,SD_CoinsInnTier1Complex,0,0,1
619,SD_CoinsInnTier1,0,0,4
620,SD_CoinsInnTier1A,0,35918,15
621,SD_CoinsInnTier2Complex,0,0,1
622,SD_CoinsInnTier2,0,0,4
623,SD_CoinsInnTier2A,0,67620,11
624,SD_CopayOutofNetComplex,0,0,1
625,SD_CopayOutofNet,0,0,6
626,SD_CopayOutofNetA,0,65264,19
627,SD_CoinsOutofNetComplex,0,0,1
628,SD_CoinsOutofNet,0,0,4
629,SD_CoinsOutofNetA,0,9917,14
630,UC_LIMITED,0,0,2
631,UC_CopayInn_TIERS,0,0,2
632,UC_CopayInnTier1Complex,0,0,2
633,UC_CopayInnTier1,0,0,6
634,UC_CopayInnTier1A,0,17540,32
635,UC_CopayInnTier2Complex,0,0,1
636,UC_CopayInnTier2,0,0,5
637,UC_CopayInnTier2A,0,68893,21
638,UC_CoinsInn_TIERS,0,0,2
