,ServiceAreaId,IssuerId,OutOfServiceAreaCoverageDescription,TEHBOutOfNetIndividualMOOP,TEHBCombInnOonFamilyPerPersonMOOP,TEHBInnTier1IndividualMOOP,SBCHavingaBabyDeductible,TEHBCombInnOonIndividualMOOP,TEHBOutOfNetFamilyPerPersonMOOP,act_value,TEHBInnTier1FamilyPerGroupMOOP,EHBPercentTotalPremium,SBCHavingDiabetesDeductible,TEHBInnTier1FamilyPerPersonMOOP,SBCHavingDiabetesCoinsurance,SBCHavingaBabyCoinsurance,SBCHavingaBabyCopayment,TEHBCombInnOonFamilyPerGroupMOOP,TEHBOutOfNetFamilyPerGroupMOOP,SBCHavingDiabetesCopayment
5023,MOS001,32753,0,13,0,6,6,0,13700,63.2185161113739,13700,1.0,1,6850,0,140,0,0,27400,90
5024,MOS004,32753,0,11,16500,5,1,16,11000,79.3441295623779,11000,0.0,424,5500,0,817,0,33000,22000,20
5025,MOS004,32753,0,11,16500,5,1,16,11000,79.3441295623779,11000,0.0,424,5500,0,817,0,33000,22000,20
5026,MOS001,32753,0,13,0,6,6,0,13700,63.2185161113739,13700,1.0,1,6850,0,140,0,0,27400,90
5027,MOS001,32753,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
5028,MOS005,32753,0,11,16500,5,1,16,11000,79.3441295623779,11000,0.0,424,5500,0,817,0,33000,22000,20
5029,MOS005,32753,0,11,16500,5,1,16,11000,79.3441295623779,11000,0.0,424,5500,0,817,0,33000,22000,20
5030,MOS001,32753,0,13,0,6,6,0,13700,63.2185161113739,13700,1.0,1,6850,0,140,0,0,27400,90
5031,MOS001,32753,0,13,0,6,4,0,13700,63.6640965938568,13700,1.0,1,6850,0,452,0,0,27400,70
5032,MOS006,32753,0,11,16500,5,1,16,11000,79.3441295623779,11000,0.0,424,5500,0,817,0,33000,22000,20
5033,MOS006,32753,0,11,16500,5,1,16,11000,79.3441295623779,11000,0.0,424,5500,0,817,0,33000,22000,20
5034,MOS001,32753,0,13,0,6,4,0,13700,63.6640965938568,13700,1.0,1,6850,0,452,0,0,27400,70
5035,MOS001,32753,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
5036,MOS007,32753,0,11,16500,5,1,16,11000,79.3441295623779,11000,0.0,424,5500,0,817,0,33000,22000,20
5037,MOS007,32753,0,11,16500,5,1,16,11000,79.3441295623779,11000,0.0,424,5500,0,817,0,33000,22000,20
5038,MOS001,32753,0,13,0,6,4,0,13700,63.6640965938568,13700,1.0,1,6850,0,452,0,0,27400,70
5039,MOS008,32753,0,11,16500,5,1,16,11000,79.3441295623779,11000,0.0,424,5500,0,817,0,33000,22000,20
5040,MOS003,32753,0,13,19650,6,4,19,13100,62.116128206253094,13100,0.0,1,6550,0,175,0,39300,26200,0
5041,MOS001,32753,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
5042,MOS001,32753,0,13,0,6,6,0,13100,59.94,13100,1.0,1,6550,0,0,0,0,26200,0
5043,MOS003,32753,0,13,19650,6,4,19,13100,62.116128206253094,13100,0.0,1,6550,0,175,0,39300,26200,0
5044,MOS004,32753,0,13,20550,6,1,20,13700,72.9625284671783,13700,0.0,1,6850,0,1,0,41100,27400,70
5045,MOS001,32753,0,13,0,1,700,0,13700,88.14207315444949,2700,1.0,700,1350,84,400,250,0,27400,30
5046,MOS001,32753,0,13,0,550,150,0,13700,94.58,1100,1.0,150,550,196,250,150,0,27400,20
5047,MOS004,32753,0,13,19650,6,4,19,13100,62.116128206253094,13100,0.0,1,6550,0,175,0,39300,26200,0
5048,MOS001,32753,0,13,0,6,4,0,13100,61.9567692279816,13100,1.0,1,6550,0,392,0,0,26200,0
5049,MOS001,32753,0,13,0,6,2,0,13700,72.83919453620909,13700,1.0,1,6850,0,361,500,0,27400,80
5050,MOS002,34762,0,25,0,5,5,0,25000,71.4237093925476,10200,1.0,300,5100,0,0,0,0,50000,700
5051,MOS002,44240,0,15,0,6,5,0,15000,61.87,13700,1.0,5,6850,0,0,0,0,30000,0
5052,MOS002,44240,0,15,0,6,5,0,15000,61.87,13700,1.0,5,6850,0,0,0,0,30000,0
5053,MOS001,32753,0,13,0,6,4,0,13100,61.9567692279816,13100,1.0,1,6550,0,392,0,0,26200,0
5054,MOS004,32753,0,13,19650,6,4,19,13100,62.116128206253094,13100,0.0,1,6550,0,175,0,39300,26200,0
5055,MOS005,32753,0,13,19650,6,4,19,13100,62.116128206253094,13100,0.0,1,6550,0,175,0,39300,26200,0
5056,MOS001,32753,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
5057,MOS001,32753,0,13,0,6,4,0,13100,61.9567692279816,13100,1.0,1,6550,0,392,0,0,26200,0
5058,MOS005,32753,0,13,19650,6,4,19,13100,62.116128206253094,13100,0.0,1,6550,0,175,0,39300,26200,0
5059,MOS006,32753,0,13,19650,6,4,19,13100,62.116128206253094,13100,0.0,1,6550,0,175,0,39300,26200,0
5060,MOS001,32753,0,11,0,5,3,0,11000,71.25124335289,11000,1.0,424,5500,0,0,500,0,22000,90
5061,MOS001,32753,0,11,0,5,3,0,11000,71.25124335289,11000,1.0,424,5500,0,0,500,0,22000,90
5062,MOS006,32753,0,13,19650,6,4,19,13100,62.116128206253094,13100,0.0,1,6550,0,175,0,39300,26200,0
5063,MOS007,32753,0,13,19650,6,4,19,13100,62.116128206253094,13100,0.0,1,6550,0,175,0,39300,26200,0
5064,MOS001,32753,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
5065,MOS001,32753,0,11,0,5,3,0,11000,71.25124335289,11000,1.0,424,5500,0,0,500,0,22000,90
5066,MOS007,32753,0,13,19650,6,4,19,13100,62.116128206253094,13100,0.0,1,6550,0,175,0,39300,26200,0
5067,MOS008,32753,0,13,19650,6,4,19,13100,62.116128206253094,13100,0.0,1,6550,0,175,0,39300,26200,0
5068,MOS001,32753,0,11,0,5,3,0,11000,74.0908145904541,10000,1.0,424,5000,0,0,500,0,22000,60
5069,MOS001,32753,0,11,0,1,800,0,11000,87.7609193325043,3700,1.0,424,1850,0,0,250,0,22000,40
5070,MOS008,32753,0,13,19650,6,4,19,13100,62.116128206253094,13100,0.0,1,6550,0,175,0,39300,26200,0
5071,MOS001,32753,0,11,0,650,200,0,11000,94.6431159973145,1300,1.0,200,650,0,0,100,0,22000,20
5072,MOS001,32753,0,10,0,5,3,0,10000,69.65487599372861,10000,1.0,1,5000,0,311,500,0,20000,0
5073,MOS001,32753,0,10,0,5,3,0,10000,69.65487599372861,10000,1.0,1,5000,0,311,500,0,20000,0
