,ServiceAreaId,IssuerId,TEHBInnTier1FamilyPerGroupMOOP,OutOfServiceAreaCoverageDescription,SBCHavingaBabyCoinsurance,SBCHavingaBabyDeductible,SBCHavingDiabetesCoinsurance,EHBPercentTotalPremium,SBCHavingDiabetesDeductible,TEHBCombInnOonFamilyPerPersonMOOP,TEHBCombInnOonFamilyPerGroupMOOP,TEHBInnTier1IndividualMOOP,SBCHavingDiabetesCopayment,TEHBCombInnOonIndividualMOOP,SBCHavingaBabyCopayment,TEHBOutOfNetFamilyPerGroupMOOP,TEHBOutOfNetIndividualMOOP,TEHBInnTier1FamilyPerPersonMOOP,TEHBOutOfNetFamilyPerPersonMOOP
19763,KSS001,81711,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19764,KSS001,81711,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19765,KSS001,86067,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19766,KSS001,86246,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19767,KSS001,86246,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19768,KSS001,93384,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19769,KSS001,94248,10200,0,0,5,0,1.0,300,0,0,5,300,0,0,20400,10,5100,10200
19770,KSS001,94248,5600,0,800,1,0,1.0,300,0,0,2,300,0,10,11200,5,2800,5600
19771,KSS001,94248,5600,0,800,1,0,1.0,300,0,0,2,300,0,10,11200,5,2800,5600
19772,KSS001,94248,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
19773,KSS001,94248,10200,0,0,5,0,1.0,300,0,0,5,300,0,0,20400,10,5100,10200
19774,KSS001,94248,12900,0,1,2,0,1.0,300,0,0,6,300,0,10,25800,12,6450,12900
19775,KSS001,94248,12900,0,1,2,0,1.0,300,0,0,6,300,0,10,25800,12,6450,12900
19776,KSS001,94248,9200,0,0,4,0,1.0,300,0,0,4,300,0,0,20400,10,4600,10200
19777,KSS001,94248,3000,0,0,1,0,1.0,300,0,0,1,300,0,0,20400,10,1500,10200
19778,KSS001,94248,1250,0,0,600,0,1.0,300,0,0,625,300,0,0,20400,10,625,10200
19779,KSS001,94248,13600,0,0,6,0,1.0,4,0,0,6,0,0,0,27200,13,6800,13600
19780,KSS001,94248,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
19781,KSS001,94248,13600,0,0,6,0,1.0,4,0,0,6,0,0,0,27200,13,6800,13600
19782,KSS001,94248,10200,0,0,5,0,1.0,300,0,0,5,700,0,0,50000,25,5100,25000
19783,KSS001,94248,10200,0,0,5,0,1.0,300,0,0,5,700,0,0,50000,25,5100,25000
19784,KSS001,94248,9200,0,0,4,0,1.0,300,0,0,4,700,0,0,50000,25,4600,25000
19785,KSS001,94248,3000,0,0,1,0,1.0,300,0,0,1,700,0,0,50000,25,1500,25000
19786,KSS001,94248,1250,0,0,600,0,1.0,200,0,0,625,400,0,0,50000,25,625,25000
19787,KSS001,94248,13600,0,0,6,0,1.0,4,0,0,6,0,0,0,50000,25,6800,25000
19788,KSS001,94248,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
